group_id,split,run_ids,can_run_ids,phone_run_ids,paired_pair_ids,total_duration_s,total_distance_km,quality_flags,notes
Driver_A_S1,train,S-S1|V-S1,V-S1,S-S1,pair_S1,5170.3,37.162,none,1 paired drives
Driver_A_S2,val,S-S2|V-S2,V-S2,S-S2,pair_S2,9383.3,73.672,phone:clock_reset,1 paired drives; flags: phone:clock_reset
Driver_A_S3_trip,train,S-S3a|S-S3b|S-S3c|V-S3a|V-S3b|V-S3c,V-S3a|V-S3b|V-S3c,S-S3a|S-S3b|S-S3c,pair_S3a|pair_S3b|pair_S3c,6844.799999999999,72.205,phone:clock_reset,3 paired drives; flags: phone:clock_reset
Driver_A_S4,train,S-S4|V-S4,V-S4,S-S4,pair_S4,9458.0,91.347,low_confidence_offset|phone:clock_reset,1 paired drives; flags: low_confidence_offset|phone:clock_reset
Driver_B_M,train,S-M|V-M,V-M,S-M,pair_M,10595.2,101.862,phone:clock_reset,1 paired drives; flags: phone:clock_reset
Driver_C_St1,test,V-St1,V-St1,,,5721.2,46.957,none,standard nominal run
Driver_C_St4,test,V-St4,V-St4,,,1359.0,28.431,none,standard nominal run
Driver_C_St6,test,V-St6,V-St6,,,5135.9,113.424,none,standard nominal run
Driver_C_St7,train,V-St7,V-St7,,,4509.7,89.924,can:timestamp_gap,flags: can:timestamp_gap
Driver_D_Y1,test,S-Y1|V-Y1,V-Y1,S-Y1,pair_Y1,6998.4,58.195,can:timestamp_gap|low_confidence_offset|phone:clock_reset,1 paired drives; flags: can:timestamp_gap|low_confidence_offset|phone:clock_reset
Driver_D_Y2,train,V-Y2,V-Y2,,,5721.2,46.957,none,standard nominal run
Driver_E_Vfa,test,S-Vfa01|S-Vfa02|V-Vfa01|V-Vfa02,V-Vfa01|V-Vfa02,S-Vfa01|S-Vfa02,pair_Vfa01|pair_Vfa02,7900.7,181.165,none,2 paired drives
Driver_E_Vfb,train,V-Vfb01a|V-Vfb01b|V-Vfb01c|V-Vfb01d|V-Vfb02a|V-Vfb02b|V-Vfb02c|V-Vfb02d|V-Vfb02e|V-Vfb02f|V-Vfb02g,V-Vfb01a|V-Vfb01b|V-Vfb01c|V-Vfb01d|V-Vfb02a|V-Vfb02b|V-Vfb02c|V-Vfb02d|V-Vfb02e|V-Vfb02f|V-Vfb02g,,,11518.099999999999,195.733,none,standard nominal run
