run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
S-A2,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A2__10s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A2,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A2__30s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A2,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-A2__60s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A2,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-A2__120s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A2,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-A2__180s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A9,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A9__10s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A9,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A9__30s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A9,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-A9__60s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A9,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-A9__120s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-A9,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-A9__180s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-T5,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-T5__10s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-T5,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-T5__30s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-T5,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-T5__60s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-T5,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-T5__120s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
S-T5,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-T5__180s__0,test,phone,False,unpaired_run: no independent cross-stream ground truth
pair_Vfa01,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,32.784932853572,27.406303560791695,10.052633713979226,30.115978475031472,-0.8469166573589195,32.773969386034835,24.494998931884766,pair_Vfa01__10s__0,test,phone,True,
pair_Vfa01,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,159.49011904455446,32.458321688836094,59.02563134360143,150.1877277336427,77.72282520086797,139.27153146049088,24.4240140914917,pair_Vfa01__30s__0,test,phone,True,
pair_Vfa01,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,42.808766453836924,6.380661819794869,24.43349952814168,42.387524865037186,-20.875423965359296,37.37384885460427,7.21099853515625,pair_Vfa01__60s__0,test,phone,True,
pair_Vfa01,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,862.2665273002301,96.85423251796695,313.42613959442156,839.7965397404378,-789.2947081613132,-347.0960402505217,35.82698440551758,pair_Vfa01__120s__0,test,phone,True,
pair_Vfa01,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,523.3153639903363,14.33609686728125,113.09102318373931,459.75460782106967,-440.90773194537564,281.86742090719554,22.301039695739746,pair_Vfa01__180s__0,test,phone,True,
pair_Vfa02,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,73.80547250874345,25.839995546488638,57.88202903011333,71.55078300929986,-67.46917918066478,-29.918631721463726,14.644012451171875,pair_Vfa02__10s__0,test,phone,True,
pair_Vfa02,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,183.15885554414075,21.894384394064463,154.19210032242125,179.30577778314603,164.96479840944912,79.58518821753506,8.093994140625,pair_Vfa02__30s__0,test,phone,True,
pair_Vfa02,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,233.93326863974553,14.159672260146772,87.03396024907607,211.09195289824444,-219.03244457568059,82.15056196495212,16.675994873046875,pair_Vfa02__60s__0,test,phone,True,
pair_Vfa02,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,2159.146531363322,70.61150746953315,765.0884373542251,1986.9383968725,-1399.1966209508796,-1644.3987150921869,68.74851989746094,pair_Vfa02__120s__0,test,phone,True,
pair_Vfa02,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,254.03001421597293,4.9019311036256505,282.06614033870125,542.1198982689554,45.19445204232528,-249.979887897251,40.1930046081543,pair_Vfa02__180s__0,test,phone,True,
pair_Y1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,1030.5022964275083,873.8691577599825,947.7582493818836,1022.8095562469979,-248.73425795228678,1000.0296065817045,122.7509994506836,pair_Y1__10s__0,test,phone,True,
pair_Y1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,838.9988341647764,168.53391278108901,808.3166641742998,917.7151763747785,216.56488465789323,-810.592207556322,89.22098922729492,pair_Y1__30s__0,test,phone,True,
pair_Y1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,1528.8624725893167,135.7118680584847,1233.4409179245333,1517.9796034551139,1216.2725301910027,926.4806249094961,42.18499946594238,pair_Y1__60s__0,test,phone,True,
pair_Y1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,1046.5037993470676,90.47783453820489,921.6971423565903,1051.009838426952,1008.6938393435701,278.6377976467646,24.585464477539062,pair_Y1__120s__0,test,phone,True,
pair_Y1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,3023.9568254333626,121.19031522506316,1329.711886575452,2754.6981422574113,-2917.1691802245796,-795.989148996405,142.68099975585938,pair_Y1__180s__0,test,phone,True,
S-A1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A1__10s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A1__30s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-A1__60s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-A1__120s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A1,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-A1__180s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A10,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A10__10s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A10,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A10__30s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A10,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-A10__60s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A10,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-A10__120s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A10,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-A10__180s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A11,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A11__10s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A11,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A11__30s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A11,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-A11__60s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A11,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-A11__120s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A11,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-A11__180s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A13,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A13__10s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A13,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A13__30s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A13,2026-09-07T17:56:09Z,baseline_cv_heading_v1,60,,,,,,,,S-A13__60s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A13,2026-09-07T17:56:09Z,baseline_cv_heading_v1,120,,,,,,,,S-A13__120s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A13,2026-09-07T17:56:09Z,baseline_cv_heading_v1,180,,,,,,,,S-A13__180s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A3,2026-09-07T17:56:09Z,baseline_cv_heading_v1,10,,,,,,,,S-A3__10s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
S-A3,2026-09-07T17:56:09Z,baseline_cv_heading_v1,30,,,,,,,,S-A3__30s__0,train,phone,False,unpaired_run: no independent cross-stream ground truth
