config,outage_s,n_paired,median_final_pos_error_m,p95_final_pos_error_m,median_pct_of_distance,p95_pct_of_distance,median_heading_error_deg
baseline_cpp_strapdown_v1,10,67,87.0982,381.4043,76.8516,478.1870,17.5376
baseline_cpp_strapdown_v1,30,58,1037.1827,3416.7782,420.9618,3246.5486,38.1205
baseline_cpp_strapdown_v1,60,52,5368.6823,12811.7349,943.6976,4751.7286,47.6744
baseline_cpp_strapdown_v1,120,41,26025.0459,52362.4866,1948.5155,12003.8927,38.1021
baseline_cpp_strapdown_v1,180,35,47929.0214,108790.9416,2711.0199,56849.1750,61.3077
baseline_cv_heading_v1,10,67,34.1126,121.1480,34.0195,165.0296,9.9310
baseline_cv_heading_v1,30,58,144.4398,507.2030,58.4137,364.2243,30.4345
baseline_cv_heading_v1,60,52,364.8625,1111.8159,61.7144,159.8955,40.6670
baseline_cv_heading_v1,120,41,754.2598,2215.0828,65.2500,213.0736,29.0490
baseline_cv_heading_v1,180,35,1142.2708,3238.8548,64.4092,173.3132,40.1930
corrected_init_strapdown_v1,10,67,94.5321,391.8861,76.5817,702.0446,54.6240
corrected_init_strapdown_v1,30,58,1106.1106,3188.9616,433.6591,4852.4738,71.2152
corrected_init_strapdown_v1,60,52,5389.9364,12486.1059,943.7205,17579.6620,68.4071
corrected_init_strapdown_v1,120,41,26351.2232,52564.1371,2050.4530,43109.0108,63.5930
corrected_init_strapdown_v1,180,35,46519.9377,100499.3295,2716.7742,146689.7476,66.5039
