# Module A v1: Static-Phase Attitude and Gyroscope Bias Calibration
# Coordinate Frame: ENU navigation, Body X=Right, Y=Forward, Z=Up
# Leveling: pitch = atan2(fy, sqrt(fx^2 + fz^2)), roll = atan2(-fx, fz)
# Units: pitch/roll in rad & deg; gyro biases in rad/s & deg/s; accel in m/s^2
run_id,window_found,start_s,end_s,duration_s,pitch_rad,roll_rad,pitch_deg,roll_deg,gyro_bias_x_rad_s,gyro_bias_y_rad_s,gyro_bias_z_rad_s,gyro_bias_x_deg_s,gyro_bias_y_deg_s,gyro_bias_z_deg_s,accel_mean_x_m_s2,accel_mean_y_m_s2,accel_mean_z_m_s2,accel_norm_m_s2,flag
pair_M,True,532.8,553.8,21.0,0.05099,0.021899,2.922,1.255,0.00091801,0.00179526,-0.00091943,0.0526,0.1029,-0.0527,-0.2157,0.5028,9.8499,9.8651,mid_trip_stop
pair_S1,True,6.5,36.4,29.9,-0.002203,-0.004319,-0.126,-0.247,-0.00077533,0.00029633,-0.000286,-0.0444,0.017,-0.0164,0.0427,-0.0218,9.8747,9.8748,mid_trip_stop
pair_S2,True,0.0,11.0,11.0,0.009545,0.006729,0.547,0.386,-0.00314955,-0.02278559,0.00197387,-0.1805,-1.3055,0.1131,-0.0663,0.094,9.8514,9.8521,clean_initial
pair_S3a,True,206.6,213.4,6.8,0.001218,-0.077862,0.07,-4.461,0.0014058,0.00075797,-0.00074928,0.0805,0.0434,-0.0429,0.766,0.012,9.8185,9.8483,mid_trip_stop
pair_S3b,True,84.4,90.1,5.7,0.096791,-0.089285,5.546,-5.116,0.00477931,-0.04816896,0.00413103,0.2738,-2.7599,0.2367,0.8773,0.9553,9.7993,9.8848,mid_trip_stop
pair_S3c,True,24.9,54.8,29.9,0.00137,0.021113,0.078,1.21,-0.00069667,-0.00319567,-0.00195233,-0.0399,-0.1831,-0.1119,-0.2078,0.0135,9.8415,9.8437,mid_trip_stop
pair_S4,True,26.6,32.5,5.9,-0.067152,-0.050049,-3.848,-2.868,0.00124833,0.00934833,0.00061333,0.0715,0.5356,0.0351,0.4959,-0.6666,9.8997,9.9345,mid_trip_stop
pair_Vfa01,True,824.7,833.0,8.3,-0.152448,-0.026142,-8.735,-1.498,0.00044048,-0.03877382,0.01400833,0.0252,-2.2216,0.8026,0.2551,-1.4995,9.7563,9.8741,mid_trip_stop
pair_Vfa02,True,0.2,11.5,11.3,-0.016704,-0.012949,-0.957,-0.742,-0.00619561,0.00938684,-0.00282632,-0.355,0.5378,-0.1619,0.1274,-0.1644,9.8402,9.8424,clean_initial
pair_Vta10,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta11,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta12,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta13,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta14,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta15,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta16,True,836.7,853.5,16.8,0.0712,0.022283,4.079,1.277,0.00183077,-0.00710888,-0.00111243,0.1049,-0.4073,-0.0637,-0.2199,0.7039,9.8666,9.8941,mid_trip_stop
pair_Vta17,True,203.6,210.5,6.9,-0.125575,0.033705,-7.195,1.931,0.00241714,-0.02856143,0.00448286,0.1385,-1.6364,0.2568,-0.3307,-1.2388,9.8077,9.8911,mid_trip_stop
pair_Vta19,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta1a,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta1b,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta2,True,13.7,23.4,9.7,-0.079337,-0.025463,-4.546,-1.459,-0.00259082,0.00719796,-0.0053898,-0.1484,0.4124,-0.3088,0.2504,-0.7819,9.8317,9.8659,mid_trip_stop
pair_Vta20,True,0.0,29.9,29.9,0.000754,-0.000389,0.043,-0.022,-0.00059233,0.002146,-0.00188767,-0.0339,0.123,-0.1082,0.0038,0.0074,9.8653,9.8653,clean_initial
pair_Vta21,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta22,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta23,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta24,False,,,0.0,,,,,,,,,,,,,,,no_window_found
