# Module B v1: Dynamic-Phase Yaw Estimation and Attitude Quaternion Synthesis
# Navigation Frame: Local Tangent Plane East-North-Up (ENU)
# Body Frame: X=Right, Y=Forward, Z=Up
# Attitude Quaternion: q = [q_w, q_x, q_y, q_z] transforming v_nav = R(q) * v_body
# Units: angles in rad & deg; gyro biases in rad/s; discrepancies in deg
run_id,has_motion,yaw_rad,yaw_deg,yaw_source,pitch_rad,roll_rad,pitch_deg,roll_deg,leveling_source,gyro_bias_x_rad_s,gyro_bias_y_rad_s,gyro_bias_z_rad_s,gyro_bias_source,q_w,q_x,q_y,q_z,pca_heading_change_deg,gyro_heading_change_deg,discrepancy_deg,flag
pair_M,True,0.914434,52.393,pca_early_motion,0.05099,0.021899,2.922,1.255,module_a_measured,0.00091801,0.00179526,-0.00091943,module_a_measured,0.8970623,0.0277044,-0.0014315,-0.4410324,-0.726,-2.563,1.838,clean_motion
pair_S1,True,4.232524,242.506,pca_early_motion,-0.002203,-0.004319,-0.126,-0.247,module_a_measured,-0.00077533,0.00029633,-0.000286,module_a_measured,-0.5188125,-0.0012746,0.002062,-0.8548846,-5.983,0.516,-6.499,clean_motion
pair_S2,True,5.750115,329.457,pca_early_motion,0.009545,0.006729,0.547,0.386,module_a_measured,-0.00314955,-0.02278559,0.00197387,module_a_measured,-0.9646686,-0.0037178,-0.0045027,-0.2634018,43.319,-8.495,51.814,high_gyro_discrepancy
pair_S3a,True,1.179329,67.571,pca_early_motion,0.001218,-0.077862,0.07,-4.461,module_a_measured,0.0014058,0.00075797,-0.00074928,module_a_measured,0.8304841,-0.0211376,-0.0326868,-0.5556806,-10.788,1.263,-12.05,clean_motion
pair_S3b,True,3.286608,188.309,pca_early_motion,0.096791,-0.089285,5.546,-5.116,module_a_measured,0.00477931,-0.04816896,0.00413103,module_a_measured,-0.0744407,-0.0479594,-0.0449722,-0.9950558,-4.162,-0.414,-3.748,clean_motion
pair_S3c,True,5.110697,292.821,pca_early_motion,0.00137,0.021113,0.078,1.21,module_a_measured,-0.00069667,-0.00319567,-0.00195233,module_a_measured,-0.8329737,0.0052695,-0.0091726,-0.5532115,0.317,-0.717,1.034,clean_motion
pair_S4,True,2.892119,165.706,pca_early_motion,-0.067152,-0.050049,-3.848,-2.868,module_a_measured,0.00124833,0.00934833,0.00061333,module_a_measured,0.125138,-0.0289887,0.0301871,-0.9912562,-0.766,3.677,-4.443,clean_motion
pair_Vfa01,True,0.457535,26.215,pca_early_motion,-0.152448,-0.026142,-8.735,-1.498,module_a_measured,0.00044048,-0.03877382,0.01400833,module_a_measured,0.9712614,-0.0771154,0.0045745,-0.2251302,2.29,2.654,-0.364,clean_motion
pair_Vfa02,True,0.654434,37.496,pca_early_motion,-0.016704,-0.012949,-0.957,-0.742,module_a_measured,-0.00619561,0.00938684,-0.00282632,module_a_measured,0.946905,-0.0099895,-0.0034464,-0.3213397,-34.176,14.422,-48.599,high_gyro_discrepancy
pair_Vta10,True,4.997709,286.348,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.8004575,0.0,0.0,-0.5993895,4.156,-2.398,6.554,uncalibrated_leveling
pair_Vta11,True,5.00962,287.03,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.8040129,0.0,0.0,-0.5946118,-6.203,-0.366,-5.837,uncalibrated_leveling
pair_Vta12,True,0.687597,39.396,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9414811,0.0,0.0,-0.3370659,-1.506,3.182,-4.688,uncalibrated_leveling
pair_Vta13,True,0.427097,24.471,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.977285,0.0,0.0,-0.2119293,6.853,-3.216,10.069,uncalibrated_leveling
pair_Vta14,True,0.080629,4.62,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9991875,0.0,0.0,-0.0403034,1.173,-2.663,3.836,uncalibrated_leveling
pair_Vta15,True,0.418774,23.994,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9781586,0.0,0.0,-0.2078601,6.515,-3.401,9.915,uncalibrated_leveling
pair_Vta16,True,0.602862,34.541,pca_early_motion,0.0712,0.022283,4.079,1.277,module_a_measured,0.00183077,-0.00710888,-0.00111243,module_a_measured,0.9543661,0.0372912,6.59e-05,-0.2963016,0.162,-1.825,1.987,clean_motion
pair_Vta17,True,5.02248,287.767,pca_early_motion,-0.125575,0.033705,-7.195,1.931,module_a_measured,0.00241714,-0.02856143,0.00448286,module_a_measured,-0.8067368,0.0605938,0.0233929,-0.5873303,4.738,-10.156,14.894,clean_motion
pair_Vta19,True,4.179887,239.49,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.4961398,0.0,0.0,-0.8682427,1.036,1.861,-0.825,uncalibrated_leveling
