outage_id,run_id,outage_s,env,speed_cat,timing_cat,start_s,v0,mean_ax,max_ax,mean_gz,max_gz,err_v1,err_v2,diff,status
pair_Vfa01__10s__0,pair_Vfa01,10,Other,Med (5-15 m/s),Late (>=120s),1107.5,13.82,2.458264,10.3308,0.175646,1.0194,142.33051883592577,281.9279238847036,139.59740504877783,regressed
pair_Vfa01__30s__0,pair_Vfa01,30,Other,High (>15 m/s),Late (>=120s),763.0,20.39,1.7283496666666667,8.2492,0.12592966666666666,0.629,452.15457950442624,513.8551725264538,61.70059302202753,regressed
pair_Vfa01__60s__0,pair_Vfa01,60,Other,Med (5-15 m/s),Late (>=120s),929.7,10.85,2.4488236666666663,13.8994,0.17969633333333332,1.0531,687.1161864147361,485.001884069151,-202.11430234558514,improved
pair_Vfa01__120s__0,pair_Vfa01,120,Other,Low (<5 m/s),Late (>=120s),1001.7,0.0,1.6313882508333333,16.520901,0.12639633333333333,1.6351,1129.80379092599,827.0906454886979,-302.71314543729204,improved
pair_Vfa01__180s__0,pair_Vfa01,180,Other,High (>15 m/s),Early (<120s),27.1,17.466,1.3618254444444444,8.6642,0.10707777777777779,0.6839,3432.6526035146844,3691.367639941903,258.71503642721837,regressed
pair_Vfa02__10s__0,pair_Vfa02,10,Other,High (>15 m/s),Late (>=120s),5811.5,28.05,1.194245,3.6763,0.09142,0.268,340.0687013837589,298.5901253256312,-41.47857605812766,improved
pair_Vfa02__30s__0,pair_Vfa02,30,Other,High (>15 m/s),Late (>=120s),4086.2,28.576,1.6440113333333333,6.5757,0.12075233333333335,0.4733,678.4186183863967,656.8218590225326,-21.596759363864066,improved
pair_Vfa02__60s__0,pair_Vfa02,60,Other,High (>15 m/s),Late (>=120s),3850.1,24.68,2.1464163333333333,8.0369,0.15608500000000003,0.6064,1668.085021142904,1554.1631712830751,-113.92184985982885,improved
pair_Vfa02__120s__0,pair_Vfa02,120,Other,High (>15 m/s),Late (>=120s),3663.3,25.804,2.099593,9.8858,0.158528,0.9324,2837.600060087689,2703.6550773692297,-133.9449827184594,improved
pair_Vfa02__180s__0,pair_Vfa02,180,Other,High (>15 m/s),Late (>=120s),1021.4,28.3,1.188822777777778,8.3239,0.0945948888888889,0.6214,4998.512296874742,4912.04165937301,-86.4706375017322,improved
