outage_id,outage_s,run_id,baseline_cpp_strapdown_v1,baseline_cv_heading_v1,corrected_init_strapdown_v1,ekf_zupt_nhc_v1,ekf_zupt_nhc_v2,ekf_zupt_nhc_v3,v1,v2,v3,diff_v3_v2,diff_v3_v1,cross_v2,cross_v3,cross_diff,along_v2,along_v3,along_diff,head_v2,head_v3,head_diff
pair_M__10s__0,10,pair_M,61.04945165010305,32.8278838131513,31.357866750875093,250.8058248429105,218.21897640485804,227.652370308954,250.8058248429105,218.21897640485804,227.652370308954,9.433393904095965,-23.153454533956506,-8.288741889285447,-20.44192563913822,-12.153183749852772,-218.06016421191595,-226.731429252765,-8.67126504084905,89.03520854492189,90.42830854492188,1.3930999999999898
pair_M__180s__0,180,pair_M,12727.17762597395,1607.9219661544562,15930.05769420002,688.5672379315919,79.19468917246343,296.74747394434786,688.5672379315919,79.19468917246343,296.74747394434786,217.55278477188443,-391.819763987244,57.78525656929235,104.0639506019888,46.27869403269644,-54.15408700786061,-277.9032715902315,-223.7491845823709,169.053894140625,170.941194140625,1.887299999999982
pair_M__60s__0,60,pair_M,5286.725123547005,366.7355509067944,4950.277564718602,178.74283923411554,171.9089974829768,214.22539487908625,178.74283923411554,171.9089974829768,214.22539487908625,42.316397396109465,35.48255564497072,-149.69701765469654,-213.77826216036624,-64.0812445056697,84.51733982142818,-13.848161430303907,-98.36550125173208,13.590604394531256,139.21209560546873,125.62149121093748
pair_S1__10s__0,10,pair_S1,76.8609711778562,6.436525837718606,72.99755642190777,31.85851066355202,9.206782577026262,32.76116973809015,31.85851066355202,9.206782577026262,32.76116973809015,23.554387161063893,0.902659074538132,-5.335813058445687,-9.350570497211976,-4.0147574387662885,-7.502927943369831,-31.398448661098048,-23.895520717728218,8.999996948242199,8.559596948242188,-0.440400000000011
pair_S1__30s__0,30,pair_S1,282.7767698901639,49.28485251748343,320.01922123911066,357.3946448693105,324.9733358016613,333.374145319651,357.3946448693105,324.9733358016613,333.374145319651,8.400809517989728,-24.02049954965952,-35.9133767912607,-32.8059349299313,3.1074418613294057,-322.97966008327484,-331.7528478885397,-8.773187805264854,63.91141342773437,47.19221342773437,-16.719199999999994
pair_S2__180s__0,180,pair_S2,82895.2833742544,1265.180527869155,76877.6681772332,919.7659493509188,372.93844264755165,1037.068308322122,919.7659493509188,372.93844264755165,1037.068308322122,664.1298656745703,117.30235897120315,-368.7133289558071,-214.60416799730373,154.1091609585034,55.97801946561398,-1014.6092748109586,-1070.5872942765725,53.99020927734375,103.74520927734376,49.75500000000001
pair_S2__30s__0,30,pair_S2,940.6991702147152,67.3198751633475,1591.295355321723,344.7709698914978,318.06789171456694,327.2475558488291,344.7709698914978,318.06789171456694,327.2475558488291,9.179664134262168,-17.52341404266872,-194.02367443752613,-147.34943107500453,46.674243362521594,-252.0387272365164,-292.2013048430664,-40.16257760655,130.92550292968753,132.36210292968752,1.4365999999999985
pair_S3a__10s__0,10,pair_S3a,75.45125710053782,17.087585312500217,110.19676699292248,162.33944820146831,106.19229581377108,122.49895328501128,162.33944820146831,106.19229581377108,122.49895328501128,16.3066574712402,-39.84049491645703,-20.70730335984005,-14.637026783882296,6.070276575957754,-104.1541948952934,-121.62182081605114,-17.46762592075774,64.90800067138672,75.66260067138671,10.754599999999996
pair_S3a__60s__0,60,pair_S3a,3512.457980516549,233.07909276487484,2066.856010453393,570.3055777692607,354.13264014497565,769.9529171391208,570.3055777692607,354.13264014497565,769.9529171391208,415.82027699414516,199.6473393698601,21.38732227970864,103.4641372410767,82.07681496136806,-353.4873253275522,-762.9704040713448,-409.4830787437926,92.89499920654292,61.45830079345703,-31.436698413085892
pair_S3c__10s__0,10,pair_S3c,68.82873584696014,7.987350078430234,52.28033083454578,129.18919045758994,113.284108389229,120.98726496897406,129.18919045758994,113.284108389229,120.98726496897406,7.703156579745055,-8.201925488615885,21.123911568692407,27.140951790752176,6.017040222059769,-111.2972252927564,-117.9037471673138,-6.6065218745574015,74.4188029296875,60.3382029296875,-14.080600000000004
